nohup: ignoring input
------------------------------------------------------------
初始化并发系统 (Workers=46)...
Loading NLP Model: oliverguhr/fullstop-punctuation-multilang-large ...
Device set to use cuda:0
模型加载完成。
------------------------------------------------------------
找到 2620 个音频文件。
开始并行处理...
文件名                                      | 音频时长(s)      | 完整生成耗时(s)       | 实时率(RTF)  
------------------------------------------------------------------------------------------
7021-79759-0001.wav                      | 2.48         | 2.1301          | 0.8589    
7021-85628-0014.wav                      | 2.29         | 2.7921          | 1.2166    
7021-79740-0012.wav                      | 3.26         | 3.5946          | 1.1026    
7021-85628-0025.wav                      | 2.77         | 3.6491          | 1.3150    
7021-85628-0017.wav                      | 2.15         | 4.5041          | 2.0901    
7021-85628-0012.wav                      | 5.33         | 4.7816          | 0.8971    
7021-79740-0006.wav                      | 5.96         | 4.9976          | 0.8378    
7021-79740-0005.wav                      | 2.11         | 5.3768          | 2.5482    
7021-85628-0021.wav                      | 5.37         | 5.3550          | 0.9981    
7021-85628-0008.wav                      | 7.12         | 5.5138          | 0.7739    
You seem to be using the pipelines sequentially on GPU. In order to maximize efficiency please use a dataset
7021-79759-0002.wav                      | 5.25         | 5.6387          | 1.0740    
7021-85628-0020.wav                      | 6.45         | 5.6978          | 0.8834    
7021-85628-0026.wav                      | 2.74         | 5.8044          | 2.1184    
7021-79740-0009.wav                      | 3.63         | 5.9797          | 1.6450    
7021-85628-0019.wav                      | 3.25         | 5.9726          | 1.8349    
7021-85628-0024.wav                      | 2.17         | 5.9681          | 2.7567    
7021-79759-0000.wav                      | 4.78         | 4.0259          | 0.8431    
7021-85628-0006.wav                      | 3.58         | 6.3083          | 1.7621    
7021-85628-0004.wav                      | 2.81         | 6.3407          | 2.2605    
7021-85628-0000.wav                      | 3.02         | 6.4156          | 2.1244    
7021-79740-0007.wav                      | 6.99         | 6.8119          | 0.9745    
7021-79740-0013.wav                      | 7.37         | 6.8782          | 0.9339    
7021-79759-0003.wav                      | 4.62         | 4.0840          | 0.8840    
7021-85628-0010.wav                      | 8.02         | 7.0498          | 0.8796    
7021-85628-0016.wav                      | 4.28         | 7.1360          | 1.6673    
7021-79730-0002.wav                      | 2.69         | 1.9450          | 0.7230    
7021-79740-0001.wav                      | 6.00         | 7.3805          | 1.2311    
7021-79730-0000.wav                      | 2.44         | 1.7613          | 0.7219    
7021-85628-0009.wav                      | 8.54         | 7.5005          | 0.8783    
7021-85628-0027.wav                      | 8.50         | 7.5889          | 0.8928    
7021-79740-0003.wav                      | 4.99         | 7.7447          | 1.5536    
7021-85628-0022.wav                      | 5.14         | 7.7442          | 1.5052    
7021-85628-0005.wav                      | 5.01         | 7.7530          | 1.5460    
7021-79740-0004.wav                      | 6.46         | 8.0793          | 1.2497    
7021-85628-0018.wav                      | 8.22         | 8.1034          | 0.9858    
7021-85628-0023.wav                      | 9.03         | 8.1425          | 0.9017    
7021-85628-0011.wav                      | 8.99         | 8.2969          | 0.9224    
7021-85628-0002.wav                      | 6.46         | 8.4575          | 1.3102    
1995-1837-0022.wav                       | 3.42         | 2.4168          | 0.7077    
