nohup: ignoring input
------------------------------------------------------------
初始化并发系统 (Workers=49)...
Loading NLP Model: oliverguhr/fullstop-punctuation-multilang-large ...
Device set to use cuda:0
模型加载完成。
------------------------------------------------------------
找到 2620 个音频文件。
开始并行处理...
文件名                                      | 音频时长(s)      | 完整生成耗时(s)       | 实时率(RTF)  
------------------------------------------------------------------------------------------
7021-79759-0001.wav                      | 2.48         | 1.8618          | 0.7507    
7021-85628-0014.wav                      | 2.29         | 1.8895          | 0.8233    
7021-85628-0025.wav                      | 2.77         | 2.2118          | 0.7971    
7021-85628-0024.wav                      | 2.17         | 2.4246          | 1.1199    
7021-79740-0005.wav                      | 2.11         | 2.8632          | 1.3570    
7021-85628-0017.wav                      | 2.15         | 3.0482          | 1.4145    
7021-79740-0012.wav                      | 3.26         | 3.4902          | 1.0706    
7021-85628-0026.wav                      | 2.74         | 3.5716          | 1.3035    
7021-79740-0009.wav                      | 3.63         | 3.7161          | 1.0223    
You seem to be using the pipelines sequentially on GPU. In order to maximize efficiency please use a dataset
7021-79759-0000.wav                      | 4.78         | 3.7108          | 0.7771    
7021-79759-0003.wav                      | 4.62         | 3.5260          | 0.7632    
7021-85628-0019.wav                      | 3.25         | 3.8680          | 1.1883    
7021-85628-0006.wav                      | 3.58         | 3.8734          | 1.0819    
7021-85628-0004.wav                      | 2.81         | 3.8830          | 1.3843    
7021-85628-0000.wav                      | 3.02         | 4.4228          | 1.4645    
7021-85628-0021.wav                      | 5.37         | 4.5231          | 0.8431    
7021-85628-0012.wav                      | 5.33         | 4.5210          | 0.8482    
7021-79740-0001.wav                      | 6.00         | 4.6124          | 0.7694    
7021-79759-0002.wav                      | 5.25         | 4.4895          | 0.8552    
7021-79740-0003.wav                      | 4.99         | 4.8081          | 0.9645    
7021-85628-0020.wav                      | 6.45         | 4.8018          | 0.7445    
7021-85628-0022.wav                      | 5.14         | 4.8355          | 0.9398    
7021-79730-0002.wav                      | 2.69         | 2.2544          | 0.8381    
7021-85628-0016.wav                      | 4.28         | 5.1202          | 1.1963    
